?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/149>	149	<http://www.w3.org/2002/07/owl#Class>	CY	CRICKET				NCBITaxon_6995
<https://www.napralert.org/data/animal/60>	60	<http://www.w3.org/2002/07/owl#Class>	SU	SEA URCHIN				NCBITaxon_7625
<https://www.napralert.org/data/animal/220>	220	<http://www.w3.org/2002/07/owl#Class>	LB	LAMB				NCBITaxon_9940|UBERON_0007021
<https://www.napralert.org/data/animal/263>	263	<http://www.w3.org/2002/07/owl#Class>	NB	RAT(NEWBORN)				NCBITaxon_10114
<https://www.napralert.org/data/animal/157>	157	<http://www.w3.org/2002/07/owl#Class>	DK	DUCKLING				NCBITaxon_8830|PATO_0000309
<https://www.napralert.org/data/animal/9>	9	<http://www.w3.org/2002/07/owl#Class>	P	PIG				NCBITaxon_9822
<https://www.napralert.org/data/animal/78>	78	<http://www.w3.org/2002/07/owl#Class>	JM	ORYZIAS LATIPES				NCBITaxon_8090
<https://www.napralert.org/data/animal/62>	62	<http://www.w3.org/2002/07/owl#Class>	TB	TRIBOLIUM CONFUSUM				NCBITaxon_7071
<https://www.napralert.org/data/animal/186>	186	<http://www.w3.org/2002/07/owl#Class>	GQ	GERBIL(PREGNANT)				NCBITaxon_10045|UBERON_0009097
<https://www.napralert.org/data/animal/130>	130	<http://www.w3.org/2002/07/owl#Class>	CD	CAYMAN		Should be renamed Caiman (J.B.)		NCBITaxon_1294637
<https://www.napralert.org/data/animal/66>	66	<http://www.w3.org/2002/07/owl#Class>	TL	TOXASCARIS LEONONI		Rename to Toxascaris leonina (J.B.)		NCBITaxon_59264
<https://www.napralert.org/data/animal/268>	268	<http://www.w3.org/2002/07/owl#Class>	OC	OCTOPUS				NCBITaxon_6638
<https://www.napralert.org/data/animal/197>	197	<http://www.w3.org/2002/07/owl#Class>	HH	HAMSTER(OVARIECTOMIZED)				NCBITaxon_10026
<https://www.napralert.org/data/animal/148>	148	<http://www.w3.org/2002/07/owl#Class>	CX	CALLOSOBRUCHUS MACULATUS				NCBITaxon_64391
<https://www.napralert.org/data/animal/234>	234	<http://www.w3.org/2002/07/owl#Class>	M6	LANGUR				NCBITaxon_9569
<https://www.napralert.org/data/animal/56>	56	<http://www.w3.org/2002/07/owl#Class>	SQ	QUAIL(SEA)				NCBITaxon_9090
<https://www.napralert.org/data/animal/156>	156	<http://www.w3.org/2002/07/owl#Class>	DH	TORTOISE		Not precise enough (J.B.)		NCBITaxon_8487
<https://www.napralert.org/data/animal/131>	131	<http://www.w3.org/2002/07/owl#Class>	CE	CHICK EMBRYO				UBERON_0000922|NCBITaxon_9031
<https://www.napralert.org/data/animal/6>	6	<http://www.w3.org/2002/07/owl#Class>	SA	HAMSTER(SYRIAN)				NCBITaxon_10036
<https://www.napralert.org/data/animal/252>	252	<http://www.w3.org/2002/07/owl#Class>	MP	MONKEY(RHESUS),PREGNANT				NCBITaxon_9544|UBERON_0009097
<https://www.napralert.org/data/animal/264>	264	<http://www.w3.org/2002/07/owl#Class>	NM	MOUSE(NUDE)				NCBITaxon_10088
<https://www.napralert.org/data/animal/158>	158	<http://www.w3.org/2002/07/owl#Class>	DL	DUCK				NCBITaxon_8830
<https://www.napralert.org/data/animal/55>	55	<http://www.w3.org/2002/07/owl#Class>	SP	EWE(PREGNANT)				NCBITaxon_9940|UBERON_0009097|PATO_0000383
<https://www.napralert.org/data/animal/188>	188	<http://www.w3.org/2002/07/owl#Class>	GS	GOSLING				NCBITaxon_286003|PATO_0000309
<https://www.napralert.org/data/animal/144>	144	<http://www.w3.org/2002/07/owl#Class>	CS	CRAYFISH				NCBITaxon_6724|NCBITaxon_29961
